Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яковенко,Болеслав,Петрович,Чоловіча,05.03.1985,Ювелір,місто Васильків,"набережна Ашгабатська, буд. 756 кв. 3, Здолбунів, 95704",454 06 64,alla69@example.com
Жученко,Алла,Михайлівна,Жіноча,22.04.2008,Мікробіолог,селище Мирноград,"проспект Чорноморський, буд. 271, Новий Розділ, 58950",073 756-74-38,ieva44@example.net
Вівчаренко,Юхим,Дмитрович,Чоловіча,20.02.1963,Секретар,хутір Гайворон,"провулок Селекційна, буд. 0 кв. 088, Селидове, 22421",003 834-63-78,irenachalyi@example.net
Абрамчук,Азар,Олександрович,Чоловіча,22.07.1988,Реабілітолог,місто Дніпро ,"площа Миколи Боровського, буд. 7, Ладижин, 89910",+380 (03) 536-36-40,bohuslavapushkar@example.com
Чубай,Тимофій,Михайлович,Чоловіча,26.01.1996,Публіцист,селище Яремче,"сквер Хутірський, буд. 292 кв. 9, Молодогвардійськ, 85926",005 591-73-43,violetta45@example.com
Бабій,Пилип,Єгорович,Чоловіча,05.02.1996,Адвокат,селище Олександрія,"площа Моторний 1-й, буд. 30 кв. 31, Баранівка, 45298",079 65 24,iarynamoskal@example.com
Вітер,Пріска,Сергіївна,Жіноча,24.02.1943,Професор,селище Герца,"шосе Тракторна, буд. 2 кв. 13, Попасна, 46486",+380 (76) 340-08-93,borysivanenko@example.org
Карпа,Венедикт,Сергійович,Чоловіча,23.05.1992,Кінорежисер,хутір Торецьк,"шосе Чорноморського козацтва, буд. 299, Татарбунари, 68426",676-43-63,orysia57@example.com
Корпанюк,Надія,Петрівна,Жіноча,14.02.1986,Письменник,селище Олешки,"провулок Садова 4-та, буд. 50, Ічня, 67196",+380 75 154 87 40,zhuravelleon@example.org
Шиян,Іван,Дмитрович,Чоловіча,03.04.1966,Музикознавець,місто Ладижин,"провулок Кавказький, буд. 36 кв. 31, Городенка, 92288",005 917 40 17,danylo24@example.net
Лукаш,Герман,Петрович,Чоловіча,14.02.1974,Складальник,місто Деражня,"набережна Новгородський, буд. 841 кв. 658, Святогірськ, 32174",+380 03 763-64-55,demian00@example.net
Вернигора,Богдан,Миколайович,Чоловіча,22.03.1983,Продюсер,селище Ладижин,"узвіз Аеродромний 2-й, буд. 2 кв. 8, Сватове, 01583",068 779-92-23,cbabenko@example.net
Гавриш,Герман,Дмитрович,Чоловіча,13.09.1979,Пілот,селище Зборів,"провулок Чорноморський 3-й, буд. 10 кв. 7, Коломия, 62956",+380 (49) 999-20-36,iustymdemianchuk@example.net
Гавриш,Данна,Єгорівна,Жіноча,06.04.2006,Детектив,село Зіньків,"парк Соляний 6-й, буд. 908 кв. 868, Тетіїв, 89149",036 154 88 12,dannanesterenko@example.com
Гуцуляк,Григорій,Дмитрович,Чоловіча,25.08.1969,Музикант,селище Докучаєвськ,"шосе Яружний, буд. 58 кв. 6, Снігурівка, 97401",+380 48 838-42-70,vvashchenko@example.net
Харченко,Едуард,Петрович,Чоловіча,04.08.1983,Піаніст,селище Приморськ (Україна),"вулиця Картамишевський, буд. 6 кв. 768, Ясинувата, 78119",008 614 15 42,gbandura@example.com
Гавришкевич,Камілла,Сергіївна,Жіноча,26.09.1945,Локсмайстер,селище Білогірськ,"вулиця Дністровська, буд. 88, Сіверськ, 86824",+380 (10) 684-35-69,zasenkovalentyna@example.org
Остапчук,Ірина,Іванівна,Жіноча,18.07.1957,Музикант,село Пирятин,"шосе Романтичний, буд. 57, Ватутіне, 98699",+380 51 079 98 37,kovalenkoolena@example.com
Панчук,Стефан,Єгорович,Чоловіча,11.12.1991,Музичний редактор,село Бершадь,"проспект Садова 3-тя, буд. 2, Березань , 92715",024 460-46-37,martyn43@example.org
Прокопович,Омелян,Дмитрович,Чоловіча,29.05.1989,Кухар,селище Бережани,"площа Долинська, буд. 0, Зеленодольськ, 06067",+380 (92) 229-17-50,kdrozd@example.com
Приймак,Варвара,Петрівна,Жіноча,28.05.1942,Фрілансер,місто Новомосковськ,"провулок Ветеранів праці, буд. 0, Авдіївка, 77938",075 259 23 60,petliuravioletta@example.net
Шаповал,Леонтій,Єгорович,Чоловіча,25.06.1985,Письменник,селище Зимогір'я,"провулок Дукова, буд. 9, Сніжне, 73388",029 825-02-47,romanchukavhustyn@example.net
Данченко,Зиновій,Петрович,Чоловіча,26.01.1967,Водій,селище Ананьїв,"сквер Військовий узвіз, буд. 6, Попасна, 86671",158-64-27,kamillaievtushenko@example.net
Стець,Ярина,Дмитрівна,Жіноча,12.08.1939,Адвокат,місто Сарни,"сквер Партизанської Слави, буд. 5 кв. 3, Кривий Ріг, 14749",068 020-57-80,epylypenko@example.com
Матвієнко,Дарина,Іванівна,Жіноча,06.05.1954,Флорист,місто Кальміуське,"набережна Львівська, буд. 853 кв. 57, Шепетівка, 72586",042 138 34 13,iustyna74@example.org
Данилюк,Варвара,Андріївна,Жіноча,02.12.1980,Скульптор,місто Радомишль,"сквер Магнітогорський 2-й, буд. 523, Горішні Плавні, 34112",+380 (71) 899-33-41,marko26@example.org
Мазур,Єва,Михайлівна,Жіноча,30.05.1983,Мірошник,село Червоноград,"узвіз ім. С.Ю. Вітте, буд. 2 кв. 838, Снігурівка, 74620",+380 27 312 09 10,otsiutsiura@example.net
Сагаль,Данило,Миколайович,Чоловіча,04.10.1966,Астроном,хутір Пологи ,"шосе Виноградна 2-га, буд. 77 кв. 264, Надвірна, 38234",+380 07 579-26-09,tymofiiiefymenko@example.net
Фурс,Назар,Сергійович,Чоловіча,13.04.2000,Промисловець,хутір Стебник,"шосе Савранська, буд. 863 кв. 1, Сулимівка (Слов'янськ), 28634",+380 73 451 48 05,alla74@example.com
Павленко,Вікторія,Дмитрівна,Жіноча,03.09.1939,Фермер,хутір Кипуче,"парк Прохоровський, буд. 1 кв. 7, Красноперекопськ, 14125",058 948-82-75,valentyna88@example.com
Демʼяненко,Марта,Михайлівна,Жіноча,13.02.1982,Штукатур,село Соледар,"узвіз Сурикова, буд. 7 кв. 906, Скадовськ, 73214",018 176-45-69,atamaniukhennadii@example.net
Вертипорох,Хома,Сергійович,Чоловіча,12.03.1972,Хімік,хутір Лозова ,"узвіз Єврейська, буд. 8 кв. 539, Кропивницький, 27863",427 70 95,orlykklavdiia@example.com
Чумаченко,Зиновій,Сергійович,Чоловіча,04.01.1981,Мовознавець,хутір Кальміуське,"шосе Маланова, буд. 420, Луцьк, 48682",564 46 13,vladyslav43@example.org
Вишняк,Тереза,Володимирівна,Жіноча,27.06.1959,Графік,селище Світловодськ,"узвіз Флотська, буд. 194 кв. 5, Сокиряни, 83947",+380 (86) 593-72-43,opanasdubyna@example.net
Василенко,Орхип,Петрович,Чоловіча,17.01.1985,Педагог,місто Зміїв,"вулиця Нечипуренка, буд. 212 кв. 490, Мар'їнка, 08341",+380 26 976-32-42,civanenko@example.org
Вітер,Варфоломій,Володимирович,Чоловіча,10.02.1982,Державний службовець,селище Бар,"вулиця Офіцерська, буд. 183, Судова Вишня, 66677",175 52 85,psych@example.com
Скоробогатько,Ростислав,Єгорович,Чоловіча,23.12.1958,Штукатур,місто Новомиргород,"шосе Рекордний, буд. 016, Шахтарськ, 23412",+380 65 555-47-24,kovaliukorest@example.net
Журавель,Стефан,Сергійович,Чоловіча,03.02.1969,Провізор,селище Судова Вишня,"узвіз Лузанівський, буд. 059 кв. 2, Городище , 70726",+380 (09) 448-60-72,levkobaturynets@example.com
Ґоляш,Яків,Дмитрович,Чоловіча,08.07.1991,Скульптор,село Коломия,"площа Павла Кравцова, буд. 9 кв. 017, Бершадь, 05999",+380 66 976-34-28,iaryna47@example.com
Христенко,Юстина,Петрівна,Жіноча,12.11.1961,Бібліограф,село Костянтинівка,"узвіз Гранатна, буд. 48 кв. 0, Вугледар, 27729",491 35 11,nsuprunenko@example.net
Доценко,Валерій,Олександрович,Чоловіча,23.05.1993,Конструктор,хутір Хорол ,"проспект Гілельса, буд. 715, Новоукраїнка, 06795",005 415 29 48,cherednykspas@example.net
Габелко,Богдан,Сергійович,Чоловіча,03.10.1965,Намотувальник,місто Харцизьк,"парк Могилівська, буд. 518, Костянтинівка, 06237",886-32-57,larysa23@example.com
Воблий,Валерій,Іванович,Чоловіча,15.02.1957,Машиніст,місто Дунаївці,"площа Посмітного, буд. 400 кв. 61, Фастів, 08286",048 302 36 58,filipenkooleksa@example.org
Дейнеко,Володимира,Єгорівна,Жіноча,31.03.1977,Астронавт,селище Коростишів,"провулок Василя Кандинського 3-й, буд. 45, Яремче, 10452",062 759 27 96,liudmyladziuba@example.com
Чумаченко,Богуслава,Володимирівна,Жіноча,12.03.1997,Мікробіолог,місто Вижниця,"провулок Самарська, буд. 6 кв. 20, Хирів, 72469",458 29 30,tetianahavrylyshyn@example.org
Гузь,Богуслав,Олександрович,Чоловіча,21.04.1979,Продюсер,місто Бунге ,"набережна Шишкіна 2-й, буд. 3, Тернопіль, 78978",+380 00 647-91-20,nazar70@example.com
Каденюк,Остап,Єгорович,Чоловіча,18.06.1999,Складальник,місто Зугрес,"площа Різовська, буд. 5, Рівне, 43985",+380 34 567 76 14,trokhym31@example.com
Дашкевич,Орина,Володимирівна,Жіноча,06.04.1995,Астроном,хутір Міусинськ,"проспект Коблевська, буд. 532 кв. 541, Макіївка, 41872",005 560 21 00,deinekovadym@example.org
Оберемко,Михайло,Єгорович,Чоловіча,30.03.1948,Музичний редактор,місто Устилуг,"парк Бучми, буд. 0, Біла Церква, 79483",850-94-20,valentynashyian@example.net
Худобʼяк,Нестор,Дмитрович,Чоловіча,18.11.1969,Гицель,селище Рені,"набережна Різовська, буд. 108 кв. 49, Косів, 74966",346-69-39,devdiukpanteleimon@example.net
Андрієнко,Одарка,Дмитрівна,Жіноча,21.03.1999,Журналіст,місто Харцизьк,"площа Дорожня, буд. 6 кв. 4, Бровари, 01823",040 117 38 38,semenchenkoboleslav@example.com
Стус,Назар,Володимирович,Чоловіча,08.04.1946,Машиніст,місто Іршава,"узвіз Польова, буд. 3 кв. 980, Турка, 40662",+380 59 152-00-47,ostappetliura@example.net
Палій,Аліна,Сергіївна,Жіноча,26.01.1993,Флорист,селище Баштанка,"набережна Онезька, буд. 902 кв. 652, Семенівка, 76543",+380 08 288 35 00,iarynazaruba@example.net
Єрьоменко,Трохим,Андрійович,Чоловіча,19.08.2001,Паралегал,місто Барвінкове,"шосе Ямська, буд. 4 кв. 6, Ужгород, 46631",+380 04 181-68-92,valentyn88@example.com
Таран,Володимира,Іванівна,Жіноча,12.01.1984,Філолог,село Тульчин,"площа Високий, буд. 79, Дружківка, 86455",646 38 22,irena31@example.com
Семенченко,Святослава,Андріївна,Жіноча,10.11.1990,Композитор,хутір Білгород-Дністровський,"шосе Ризька, буд. 50 кв. 78, Охтирка, 44697",024 342 85 80,hodunokliudmyla@example.com
Фурс,Тимофій,Миколайович,Чоловіча,03.01.1965,Геофізик,місто Турка,"парк Новомосковська дорога, буд. 036, Сторожинець, 91769",198-19-13,matiashfedir@example.com
Бебешко,Сергій,Дмитрович,Чоловіча,16.06.1977,Електромонтажник,місто Миргород,"площа Чумацька, буд. 471, Канів, 26642",012 237-51-42,stusiaryna@example.net
Носенко,Святослава,Михайлівна,Жіноча,12.02.1963,Мовознавець,село Берислав,"проспект Яші Гордієнка, буд. 16 кв. 3, Лиман , 52274",126-38-55,opanas68@example.com
Чайка,Ганна,Іванівна,Жіноча,13.02.1985,Модельєр,хутір Радомишль,"проспект Транспортна, буд. 5, Берислав, 17062",+380 76 300 60 71,panasdotsenko@example.com
Ватаманюк,Вадим,Миколайович,Чоловіча,21.06.1965,Пекар,село Мостиська,"шосе Красносільська, буд. 654 кв. 8, П'ятихатки, 49044",462 20 59,olha48@example.net
Дутка,Ірена,Петрівна,Жіноча,28.02.1939,Математик,село Новоград-Волинський,"парк Горіхова, буд. 5, Зеленодольськ, 61693",530-19-66,hodunokvalentyn@example.net
Жадан,Аліна,Сергіївна,Жіноча,18.09.1989,Флорист,хутір Молодогвардійськ,"набережна Героїв оборони Одеси, буд. 8 кв. 216, Яворів, 29357",+380 (25) 078-69-81,olesbazylevskyi@example.org
Негода,Олег,Михайлович,Чоловіча,09.02.2008,Складальник,селище Новодружеськ,"шосе Тролейбусна, буд. 63, Шостка, 57971",024 669 76 61,roksolana39@example.org
Абрамчук,Христина,Олександрівна,Жіноча,22.08.1943,Диригент,хутір Антрацит ,"набережна Восьмого березня узвіз, буд. 7, Мар'їнка, 27998",+380 08 785-57-31,nadiia27@example.net
Вишиваний,Володимира,Сергіївна,Жіноча,04.12.1961,Співак,хутір Приморськ (Україна),"площа Кісельова Ігоря, буд. 94, Немирів, 42507",008 826-75-78,nadiia11@example.org
Кабаненко,Олена,Андріївна,Жіноча,11.10.1947,Конструктор,хутір Хирів,"вулиця Тетяни Тесс, буд. 486 кв. 315, Великі Мости, 77475",+380 85 330-44-32,hryhorii79@example.com
Овсієнко,Алла,Іванівна,Жіноча,30.09.1983,Антрополог,хутір Боково-Хрустальне,"набережна Хутірська, буд. 23, Дружківка, 44707",044 470-55-17,leopold89@example.org
Атаманюк,Михайло,Дмитрович,Чоловіча,30.11.1949,Паралегал,село Білозерське,"набережна Деревообробний 5-й, буд. 530 кв. 387, Умань, 43044",+380 (50) 457-12-84,diurchuk@example.org
Зайченко,Одарка,Єгорівна,Жіноча,16.09.1988,Палеонтолог,місто Богодухів,"провулок Костанді 2-й, буд. 5, Вільногірськ, 42750",+380 (79) 826-51-06,erika18@example.net
Приймак,Онисим,Андрійович,Чоловіча,30.07.1953,Соціолог,село Мукачево,"парк 1-ша Лінія Марії Демченко, буд. 475, Гребінка, 74138",024 609-44-29,shovkopliasvalentyna@example.com
Мірошниченко,Єва,Володимирівна,Жіноча,26.08.1963,Няня,хутір Добромиль,"сквер Дворянська, буд. 27 кв. 101, Слов'янськ, 51422",+380 39 398-84-82,atamaniukparmen@example.org
Верховинець,Валентин,Сергійович,Чоловіча,01.12.1991,Круп'є,місто Вовчанськ,"проспект Лиманчик 2-й Лінія 2-га, буд. 927 кв. 4, Запоріжжя, 73121",034 309 12 15,khomykmyroslav@example.com
Верес,Ірена,Миколаївна,Жіноча,15.05.1960,Конструктор,село Подільськ,"сквер Студентський 4-й, буд. 4, Вишневе , 64807",+380 47 063-39-98,makar98@example.org
Чарниш,Софія,Сергіївна,Жіноча,24.04.1959,Круп'є,селище Новоукраїнка,"вулиця Марії Демченко 2-й, буд. 502, Дрогобич, 13892",+380 40 878-97-54,orysiaieshchenko@example.net
Дерегус,Ярина,Андріївна,Жіноча,01.01.1994,Стоматолог,селище Новий Буг,"набережна Аеропортівський 1-й, буд. 414 кв. 69, Галич, 09700",074 007-76-49,irena63@example.net
Чумаченко,Дмитро,Дмитрович,Чоловіча,20.03.1993,Режисер,селище Перевальськ,"узвіз Михайла Грушевського, буд. 285, Гнівань, 21463",+380 (51) 044-78-15,panasieremenko@example.net
Деревʼянко,Ярина,Миколаївна,Жіноча,25.04.1977,Доцент,селище Нове Давидково,"шосе Лінійний, буд. 08, Ковель, 25937",075 037 28 06,feofan20@example.net
Міщенко,Гордій,Олександрович,Чоловіча,15.09.1978,Фермер,селище Лубни,"проспект Іванівський переїзд, буд. 36 кв. 17, Слов'янськ, 94678",770 91 19,ustym59@example.net
Ґерета,Богодар,Дмитрович,Чоловіча,20.11.2004,Дипломат,село Першотравенськ,"сквер Балківська, буд. 5 кв. 5, Старий Самбір, 32506",041 211 67 58,iaremkivorkhyp@example.org
Цибуленко,Кирило,Олександрович,Чоловіча,22.03.1987,Юрист,селище Мала Виска,"проспект Новиков міст, буд. 4 кв. 712, Василівка , 79539",+380 10 551-98-81,ielysei78@example.org
Левченко,Левко,Іванович,Чоловіча,30.09.1980,Головний меркшейдер,хутір Трускавець,"парк Польський узвіз, буд. 900 кв. 102, Перевальськ, 59569",089 952 73 34,serhiihavryshkevych@example.net
Жарко,Петро,Єгорович,Чоловіча,02.04.1986,Ботанік,місто Хмельницький,"сквер Писарева, буд. 2 кв. 69, Нове Давидково, 60074",+380 89 900-83-17,tetiana57@example.org
Симоненко,Володимира,Єгорівна,Жіноча,22.10.2002,Кушнір,хутір Першотравенськ,"узвіз Манежна, буд. 8, Мукачево, 32386",725-64-40,halynabazylevskyi@example.net
Семенченко,Станіслав,Михайлович,Чоловіча,22.02.2008,Кухар,місто Подільськ,"шосе Світанку, буд. 6, Алмазна, 26761",+380 57 745-24-87,kamilla39@example.org
Редько,Орина,Петрівна,Жіноча,22.08.2007,Візажист,село Нововолинськ,"вулиця Бессарабська, буд. 3 кв. 927, Ізюм, 05339",+380 76 002 81 92,sartym@example.com
Шовкопляс,Віктор,Петрович,Чоловіча,19.06.1949,Паралегал,селище Липовець,"вулиця Балтський 5-й, буд. 205 кв. 39, Хмельницький, 99693",+380 33 089 24 73,gveres@example.com
Конопля,Тимофій,Миколайович,Чоловіча,05.04.1976,Електрослюсар,хутір Хуст,"шосе Радісна, буд. 8 кв. 790, Богодухів, 59054",079 841 33 84,yiukhymenko@example.org
Гайдабура,Леон,Андрійович,Чоловіча,19.09.2008,Менеджер,селище Буськ,"провулок Прохоровський, буд. 64, Гайсин, 91464",040 274 07 65,vhavryliv@example.com
Вишняк,Марʼяна,Іванівна,Жіноча,20.04.1971,Електрик,селище Люботин,"парк Високий, буд. 503, Балта, 19693",+380 67 573-72-31,zynoviizakharenko@example.org
Доценко,Едуард,Володимирович,Чоловіча,18.05.1956,Програміст,село Миколаївка ,"сквер Дальня, буд. 37, Соснівка , 95561",241 95 44,odarkaieremenko@example.com
Єсипенко,Аліна,Дмитрівна,Жіноча,23.05.2002,Кінокритик,селище Березівка,"шосе Восьмого березня 4-й, буд. 942 кв. 7, Березне, 74680",+380 93 330-43-75,deisunhennadii@example.net
Ґерус,Орися,Андріївна,Жіноча,19.05.1953,Випробувач,селище Балаклія,"площа Дачна, буд. 76, Ясинувата, 40124",+380 (36) 212-93-40,cprotsenko@example.org
Перепелиця,Венедикт,Петрович,Чоловіча,21.11.1938,Круп'є,село Зборів,"проспект Чапаєва 2-й, буд. 74, Люботин, 60619",+380 (17) 751-63-28,kopytkovolodymyr@example.org
Якименко,Онисим,Михайлович,Чоловіча,11.12.1952,Диригент,село Гайворон,"сквер Яблочкіної, буд. 194 кв. 2, Іршава, 70743",270-35-85,vdovychenkomariana@example.net
Журба,Антон,Андрійович,Чоловіча,08.01.1979,Палеонтолог,село Бахмач,"провулок Пугачова, буд. 5 кв. 2, Малин, 02996",+380 54 137 08 62,leonid32@example.org
Козак,Ганна,Іванівна,Жіноча,09.01.1940,Провізор,місто Золочів,"вулиця Академіка Корольова, буд. 029 кв. 0, Ананьїв, 77693",+380 82 450 19 47,anton05@example.net
Данькевич,Христина,Володимирівна,Жіноча,28.04.1954,Модель,селище Алушта,"площа Отамана Чепіги, буд. 49 кв. 248, Свалява, 78295",203-56-87,artemchumachenko@example.org
Смик,Вʼячеслав,Дмитрович,Чоловіча,24.04.1980,Будник,місто Федорівка,"проспект Шевченка, буд. 084 кв. 329, Горохів, 26034",065 316-31-72,orest27@example.net
Короленко,Климент,Миколайович,Чоловіча,14.06.1979,Програміст,селище Сокаль,"площа Партизанської Слави, буд. 06, Остер , 84454",085 57 15,wdzhun@example.com
Свириденко,Орина,Єгорівна,Жіноча,04.12.1970,Кінокритик,село Ірпінь,"узвіз Совіньйонівський, буд. 90 кв. 229, Перевальськ, 67719",450 42 46,ihor87@example.org
Франко,Орест,Дмитрович,Чоловіча,19.01.1971,Епідеміолог,місто Ізяслав,"вулиця Небесної Сотні, буд. 261, Запоріжжя, 55401",+380 99 714-57-87,sviatoslavaiakymenko@example.com
Рубець,Одарка,Сергіївна,Жіноча,15.09.1947,Літературознавець,село Турка,"проспект Пересипська 4-та, буд. 96, Южне, 98373",082 629 42 30,deisunstepan@example.com
Ющенко,Ярослав,Олександрович,Чоловіча,15.11.1998,Професор,місто Буськ,"узвіз Балтський 5-й, буд. 0 кв. 4, Олександрія, 60577",261-60-38,solomiiatsymbal@example.org
Карпенко,Орина,Михайлівна,Жіноча,30.01.1945,Сценарист,село Верхньодніпровськ,"проспект Флотський 2-й, буд. 748 кв. 35, Камінь-Каширський, 54130",+380 01 683-05-55,ihupalo@example.org
Шевченко,Еріка,Петрівна,Жіноча,27.10.1998,Фізик,хутір Оріхів,"вулиця Аеродромний 1-й, буд. 439 кв. 939, Мала Виска, 38461",+380 46 194-95-12,valentyna04@example.org
Червоненко,Ігнат,Володимирович,Чоловіча,07.08.2002,Літературознавець,місто Горлівка,"сквер Тіниста, буд. 65 кв. 899, Тальне, 80975",+380 97 275-02-54,gaverchenko@example.net
Верменич,Христина,Михайлівна,Жіноча,29.04.1980,Інженер,селище Снятин,"набережна Кордонна, буд. 58 кв. 48, Гребінка, 40406",073 352-92-68,gstus@example.com
Дейнека,Олесь,Сергійович,Чоловіча,30.07.1966,Кур'єр,хутір Золочів,"площа Красний, буд. 5, Костопіль, 69384",094 362-69-98,kolesnychenkoandrii@example.net
Усик,Світлана,Єгорівна,Жіноча,09.02.1954,Головний меркшейдер,хутір Теплодар,"шосе Високий, буд. 202, Старокостянтинів, 54662",088 985-10-64,oieshchenko@example.com
